wl_um,n,k
2.95,2.26249425287,0
2.96,2.262,0
2.97,2.262,0
2.98,2.262,0
2.99,2.262,0
3,2.262,0
3.01,2.262,0
3.02,2.262,0
3.03,2.262,0
3.04,2.26147567568,0
3.05,2.261,6.41711229946e-05
3.06,2.261,0.000598930481283
3.07,2.261,0.000867724867725
3.08,2.261,0.000338624338624
3.09,2.261,0
3.1,2.261,0
3.11,2.261,0.000226804123711
3.12,2.261,0.000742268041237
3.13,2.26074619289,0.001
3.14,2.26023857868,0.001
3.15,2.26,0.001
3.16,2.26,0.001
3.17,2.26,0.001
3.18,2.26,0.001
3.19,2.26,0.000740196078431
3.2,2.26,0.00025
3.21,2.26,0.000236714975845
3.22,2.26,0.000719806763285
3.23,2.26,0.0008
3.24,2.26,0.00032380952381
3.25,2.2598490566,0.000150943396226
3.26,2.25937735849,0.000622641509434
3.27,2.259,0.001
3.28,2.259,0.001
3.29,2.259,0.001
3.3,2.259,0.001
3.31,2.259,0.001
3.32,2.259,0.001
3.33,2.259,0.001
3.34,2.259,0.001
3.35,2.259,0.001
3.36,2.259,0.001
3.37,2.259,0.001
3.38,2.259,0.001
3.39,2.259,0.001
3.4,2.259,0.001
3.41,2.25863090129,0.001
3.42,2.25820171674,0.001
3.43,2.258,0.001
3.44,2.258,0.001
3.45,2.258,0.001
3.46,2.258,0.001
3.47,2.258,0.001
3.48,2.258,0.001
3.49,2.258,0.001
3.5,2.258,0.001
3.51,2.258,0.001
3.52,2.258,0.001
3.53,2.258,0.001
3.54,2.258,0.001
3.55,2.258,0.001
3.56,2.258,0.001
3.57,2.258,0.001
3.58,2.25766536965,0.001
3.59,2.25727626459,0.001
3.6,2.257,0.001
3.61,2.257,0.001
3.62,2.257,0.001
3.63,2.257,0.001
3.64,2.257,0.001
3.65,2.257,0.001
3.66,2.257,0.001
3.67,2.257,0.001
3.68,2.257,0.001
3.69,2.257,0.001
3.7,2.257,0.001
3.71,2.257,0.001
3.72,2.257,0.001
3.73,2.257,0.001
3.74,2.257,0.001
3.75,2.257,0.001
