wl_um,n,k
1.23,1.69,0.021
1.24,1.691,0.021
1.25,1.692,0.021
1.26,1.693,0.021
1.27,1.694,0.022
1.28,1.695,0.022
1.29,1.695,0.022
1.3,1.696,0.022
1.31,1.697,0.022
1.32,1.697,0.022
1.33,1.698,0.022
1.34,1.699,0.022
1.35,1.7,0.022
1.36,1.701,0.022
1.37,1.701,0.022
1.38,1.702,0.022
1.39,1.702,0.022
1.4,1.703,0.022
1.41,1.704,0.022
1.42,1.704,0.022
1.43,1.705,0.023
1.44,1.706,0.023
1.45,1.707,0.023
1.46,1.707,0.023
1.47,1.708,0.023
1.48,1.708,0.023
1.49,1.709,0.023
1.5,1.709,0.023
1.51,1.71,0.023
1.52,1.711,0.023
1.53,1.709,0.023
1.54,1.709,0.023
1.55,1.712,0.023
1.56,1.713,0.023
1.57,1.713,0.023
1.58,1.712,0.023
1.59,1.712,0.024
1.6,1.714,0.024
1.61,1.714,0.024
1.62,1.714,0.024
1.63,1.715,0.024
1.64,1.716,0.024
1.65,1.716,0.024
1.66,1.717,0.024
1.67,1.717,0.024
1.68,1.717,0.024
1.69,1.717,0.024
1.7,1.718,0.024
1.71,1.718,0.024
1.72,1.719,0.024
1.73,1.72,0.024
1.74,1.72,0.024
1.75,1.721,0.024
1.76,1.721,0.024
1.77,1.722,0.024
1.78,1.722,0.024
1.79,1.723,0.024
1.8,1.722,0.024
1.81,1.72,0.024
1.82,1.721,0.025
1.83,1.723,0.025
1.84,1.725,0.025
1.85,1.724,0.024
1.86,1.722,0.024
1.87,1.722,0.025
1.88,1.723,0.025
1.89,1.724,0.025
1.9,1.725,0.025
1.91,1.725,0.025
1.92,1.726,0.025
1.93,1.726,0.025
1.94,1.727,0.025
1.95,1.728,0.025
1.96,1.728,0.025
1.97,1.728,0.025
1.98,1.728,0.025
1.99,1.728,0.025
2,1.728,0.025
2.01,1.728,0.025
2.02,1.728,0.026
2.03,1.729,0.026
2.04,1.729,0.026
2.05,1.73,0.026
2.06,1.73,0.026
2.07,1.73,0.026
2.08,1.73,0.026
2.09,1.731,0.026
