wavelength_nm,angle=0|pol=p|R,angle=0|pol=s|R,angle=30|pol=p|R,angle=30|pol=s|R,angle=45|pol=p|R,angle=45|pol=s|R
450.0,0.019618875366515458,0.019618875366515458,0.0036297884493572546,0.00205940682687168,0.036643474470843714,0.010460914432739107
450.25,0.018760310849833157,0.018760310849833157,0.0037462125771643815,0.0020816501219837404,0.03657542422078365,0.01048915279808901
450.5,0.017932930307143356,0.017932930307143356,0.0038625849483107815,0.0021051945748988207,0.03650240771708278,0.010518310906093729
450.75,0.017135961094181574,0.017135961094181574,0.003978758089678927,0.002129851009004586,0.03642448258844599,0.010548434460271691
451.0,0.01636863661539077,0.01636863661539077,0.004094590534232501,0.002155439531181738,0.03634170732923108,0.010579567937565391
451.25,0.015630196813624674,0.015630196813624674,0.0042099466918244935,0.0021817892903864757,0.036254141261870855,0.010611754549729973
451.5,0.014919888632906057,0.014919888632906057,0.004324696720935193,0.0022087382386044227,0.03616184450003452,0.01064503620730058
451.75,0.014236966454684669,0.014236966454684669,0.004438716401411202,0.002236132894310437,0.0360648779125209,0.010679453486087608
452.0,0.013580692508076279,0.013580692508076279,0.004551887008272193,0.002263828108558136,0.03596330308786316,0.010715045596135096
452.25,0.01295033725459465,0.01295033725459465,0.004664095186644401,0.0022916868338097316,0.035857182299637115,0.010751850353084761
452.5,0.012345179747914986,0.012345179747914986,0.004775232827880458,0.002319579895607651,0.03574657847245394,0.010789904151891915
452.75,0.01176450796923794,0.01176450796923794,0.0048851969469140815,0.002347385767178671,0.0356315551486269,0.010829241942831453
453.0,0.011207619138839865,0.011207619138839865,0.004993889560899269,0.002374990347051264,0.03551217645549766,0.010869897209739767
453.25,0.01067382000442083,0.01067382000442083,0.005101217569176313,0.002402286739757482,0.035388507073411714,0.010911901950437388
453.5,0.010162427106868332,0.010162427106868332,0.005207092634605297,0.0024291750396845963,0.03526061220432504,0.010955286659273093
453.75,0.009672767024082632,0.009672767024082632,0.005311431066300515,0.0024555621181290422,0.035128557541035256,0.011000080311738533
454.0,0.009204176593506004,0.009204176593506004,0.005414153703801125,0.0024813614136039884,0.034992409237021856,0.011046310351094971
454.25,0.00875600311401742,0.00875600311401742,0.0055151858027038475,0.0025064927254379275,0.034852233876883604,0.011094002676961924
454.5,0.008327604527854592,0.008327604527854592,0.00561445692178636,0.002530882010700676,0.034708098447363174,0.011143181635809562
454.75,0.00791834958323497,0.00791834958323497,0.005711900811640666,0.0025544611844842777,0.034560070308946866,0.011193870013305072
455.0,0.007527617978341441,0.007527617978341441,0.005807455304839665,0.0025771679235598345,0.034408217168026854,0.01124608902846013
455.25,0.007154800487348375,0.007154800487348375,0.005901062207651217,0.0025989454734292885,0.03425260704961884,0.01129985832952305
455.5,0.006799299069154687,0.006799299069154687,0.005992667193315517,0.002619742458781543,0.03409330827061757,0.011355195991570421
455.75,0.006460526959489859,0.006460526959489859,0.006082219696898226,0.0026395126973617817,0.03393038941359081,0.011412118515741589
456.0,0.0061379087470554055,0.0061379087470554055,0.0061696728117284876,0.002658215017255957,0.03376391930108876,0.011470640830066825
456.25,0.005830880434358481,0.005830880434358481,0.00625498318742825,0.002675813077589321,0.0335939669704704,0.011530776291840645
456.5,0.00553888948388183,0.00553888948388183,0.006338110929542519,0.00269227519263438,0.03342060164922877,0.011592536691487612
456.75,0.005261394850235389,0.005261394850235389,0.0064190195007693355,0.0027075741593195145,0.033243892730812616,0.011655932257873699
457.0,0.004997866998913745,0.004997866998913745,0.006497675623795127,0.0027216870881265234,0.033063909750929245,0.011720971665012625
457.25,0.0047477879122839696,0.0047477879122839696,0.0065740491857339675,0.0027345952373637314,0.03288072236432409,0.01178766204012009
457.5,0.004510651083409619,0.004510651083409619,0.006648113144169871,0.0027462838507957854,0.03269440032202631,0.011856008972968502
457.75,0.00428596149830688,0.00428596149830688,0.006719843434800046,0.0027567419986125863,0.03250501344905242,0.011926016526492736
458.0,0.004073235607218553,0.004073235607218553,0.00678921888067381,0.002765962421713848,0.032312631622559276,0.01199768724860321
458.25,0.0038720012854735774,0.0038720012854735774,0.006856221103023319,0.0027739413792865473,0.03211732475044045,0.012071022185158528
458.5,0.0036817977844895836,0.0036817977844895836,0.006920834433676893,0.002780678499648974,0.031919162750354724,0.012146020894051486
458.75,0.003502175673461284,0.003502175673461284,0.006983045829051969,0.0027861766343345445,0.031718215529183226,0.012222681460366367
459.0,0.003332696772259601,0.003332696772259601,0.007042844785714184,0.002790441715386408,0.03151455296290235,0.012301000512557817
459.25,0.0031729340760582566,0.0031729340760582566,0.007100223257495012,0.002793482615832031,0.03130824487687468,0.012380973239614523
